url,verdict,risk,details
https://www.dsci.in/sites/default/files/styles/timeline_event_388x260/public/DSCI-WebSense-Data-Security-Strategy-Series-thumb.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/sumeru-logo.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/RISHI RAJPAL.jpeg?itok=FUZZ,SAFE,Low,Static file extension detected (jpeg)
https://www.dsci.in/events/best-practices-meet-2020/wp-content/plugins/elementor/assets/lib/swiper/swiper.min48f5.js?ver=FUZZ,SAFE,Low,Static file extension detected (js)
https://www.dsci.in/sites/default/files/styles/130_140/public/Ashield Logo 261-132.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/sectoral-privacy-project/wp-content/plugins/user-registration/assets/css/my-account-layout.css?ver=FUZZ,SAFE,Low,Static file extension detected (css)
https://www.dsci.in/sites/default/files/styles/130_140/public/Webp.net-resizeimage.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/sites/default/files/styles/130_140/public/Adweb.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/sites/default/files/styles/130_140/public/logo_1.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/events/best-practices-meet-2020/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.minae82.js?ver=FUZZ,SAFE,Low,Static file extension detected (js)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/Mridul Babbar.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://betain.dsci.in/sites/all/modules/contrib/jquery_update/replace/jquery.form/4/jquery.form.min.js?v=FUZZ,SAFE,Low,Static file extension detected (js)
https://www.dsci.in/sites/default/files/styles/130_140/public/McAfeeLogo.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://blogs.dsci.in/wp-content/plugins/buddypress/bp-templates/bp-legacy/js/buddypress.js?ver=FUZZ,SAFE,Low,Static file extension detected (js)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/Subhash Shubra.JPG?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/vineeta-dixit.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/ABG_GROUP-LOGO_3D_low.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/130_140/public/Nexdigm-SKP-digital-hi-res.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/events/aiss-2017/css/animate.minbe2d.css?v=FUZZ,SAFE,Low,Static file extension detected (css)
https://www.dsci.in/industry-development/assets/fonts/fontawesome-webfont.ttf?v=FUZZ,SAFE,Low,Static file extension detected (ttf)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/dbs.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/digital-payment-abhiyan/fonts/fontawesome-webfont.woff2?v=FUZZ,SAFE,Low,Static file extension detected (woff2)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/i2k2-logo.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://ccoe.dsci.in/wp-content/plugins/radiantthemes-addons/assets/css/baguetteBox.min.css?ver=FUZZ,SAFE,Low,Static file extension detected (css)
https://www.dsci.in/events/best-practices-meet-2020/wp-content/plugins/ultimate-elementor/assets/min-css/uael-woocommerce.mine52d.css?ver=FUZZ,SAFE,Low,Static file extension detected (css)
https://www.dsci.in/blogs/wp-includes/css/dashicons.min.css?ver=FUZZ,SAFE,Low,Static file extension detected (css)
https://ccoe.dsci.in/wp-content/plugins/cookie-notice/js/front.min.js?ver=FUZZ,SAFE,Low,Static file extension detected (js)
https://www.dsci.in/blogs/wp-includes/js/jquery/jquery.min.js?ver=FUZZ,SAFE,Low,Static file extension detected (js)
https://www.dsci.in/sites/default/files/styles/130_140/public/GS - CertiSafe Logo.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/misc/jquery-html-prefilter-3.5.0-backport.js?v=FUZZ,SAFE,Low,Static file extension detected (js)
https://www.dsci.in/sites/default/files/styles/130_140/public/Final Logo.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/events/best-practices-meet-2020/wp-includes/js/underscore.min0028.js?ver=FUZZ,SAFE,Low,Static file extension detected (js)
https://www.dsci.in/sites/default/files/styles/130_140/public/dummy_logo_1.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/sites/default/files/styles/timeline_event_388x260/public/datacon.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/previous_issue_250x335/public/DSCI-Annual-Report-2008-09.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/130_140/public/Zscaler-Logo-Blue-CMYK-15Jun2015 (1)_0.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/rbl_logo.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://blogs.dsci.in/wp-content/themes/contango/lib/js/common.js?ver=FUZZ,SAFE,Low,Static file extension detected (js)
https://www.dsci.in/sites/default/files/styles/130_140/public/dummy_logo_5.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/rishi-rajpal.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/683132.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/G.K.-Pillai.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/events/aiss-2016/vendor/jqueryd28d.js?v=FUZZ,SAFE,Low,Static file extension detected (js)
https://www.dsci.in/sites/default/files/styles/thumbnail/public/Krishna Shastri.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
https://www.dsci.in/events/finsec-conclave-2023/js/scripts.js?v=FUZZ,SAFE,Low,Static file extension detected (js)
https://www.dsci.in/sites/default/files/styles/timeline_event_388x260/public/Best-Practices-Meet-2010-thumb.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/130_140/public/merge-UBI-Andh.jpg?itok=FUZZ,SAFE,Low,Static file extension detected (jpg)
https://www.dsci.in/sites/default/files/styles/130_140/public/HeroFincorp logo.png?itok=FUZZ,SAFE,Low,Static file extension detected (png)
